batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Combo_Counts,Fold_of_Uncuttable,Percent_of_Uncuttable
6,0,1,TRANS,INTACT,CHRVII_L06,A_to_D,211,418,0.5047846889952153,50.47846889952153
6,0,1,TRANS,INTACT,CHRVII_L09,A_to_D,138,418,0.33014354066985646,33.014354066985646
6,0,1,TRANS,INTACT,CHRXII_L01,A_to_D,69,418,0.16507177033492823,16.507177033492823
6,0,1,TRANS,INTACT,CHRXII_L01,C_to_B,1,106,0.009433962264150943,0.9433962264150944
6,0,1,TRANS,INTACT,CHRXII_L05,A_to_D,188,418,0.44976076555023925,44.97607655502392
6,0,1,TRANS,INTACT,CHRXII_L07,A_to_D,193,418,0.46172248803827753,46.17224880382775
6,0,1,TRANS,INTACT,CHRXII_L12,A_to_D,184,418,0.44019138755980863,44.01913875598086
6,0,1,TRANS,INTACT,CHRXV_L01,A_to_D,170,418,0.40669856459330145,40.66985645933014
6,0,1,TRANS,INTACT,CHRXV_L15,A_to_D,99,418,0.23684210526315788,23.68421052631579
6,0,1,TRANS,INTACT,CHRXV_L17_2,A_to_D,245,418,0.5861244019138756,58.61244019138756
6,0,1,TRANS,INTACT,CHRXV_L18_1PERCENT_CONTROL,A_to_D,31,418,0.07416267942583732,7.416267942583732
6,0,1,TRANS,INTACT,COMMON,A_to_D,2,418,0.004784688995215311,0.4784688995215311
6,0,1,TRANS,INTACT,COMMON,C_to_B,2045,106,19.29245283018868,1929.245283018868
6,0,1,TRANS,INTACT,NO_CUT,A_to_D,418,418,1,100
6,0,1,TRANS,INTACT,NO_CUT,C_to_B,106,106,1,100
6,0,1,TRANS,SSA,CHRIII_L02,A_to_D,14,122,0.11475409836065574,11.475409836065573
6,0,1,TRANS,SSA,CHRIII_L03,A_to_D,3,122,0.02459016393442623,2.459016393442623
6,0,1,TRANS,SSA,CHRIII_L04,A_to_D,69,122,0.5655737704918032,56.557377049180324
6,0,1,TRANS,SSA,CHRIV_L01,A_to_D,31,122,0.2540983606557377,25.40983606557377
6,0,1,TRANS,SSA,CHRIV_L03,A_to_D,34,122,0.2786885245901639,27.868852459016395
6,0,1,TRANS,SSA,CHRIV_L06_2,A_to_D,18,122,0.14754098360655737,14.754098360655737
6,0,1,TRANS,SSA,CHRIV_L10_2,A_to_D,50,122,0.4098360655737705,40.98360655737705
6,0,1,TRANS,SSA,CHRIV_L12_2,A_to_D,32,122,0.26229508196721313,26.229508196721312
6,0,1,TRANS,SSA,CHRIV_L13,A_to_D,20,122,0.16393442622950818,16.39344262295082
6,0,1,TRANS,SSA,CHRIV_L15_2,A_to_D,22,122,0.18032786885245902,18.0327868852459
6,0,1,TRANS,SSA,CHRVII_990K,A_to_D,19,122,0.1557377049180328,15.573770491803279
6,0,1,TRANS,SSA,CHRVII_L03,A_to_D,17,122,0.13934426229508196,13.934426229508198
6,0,1,TRANS,SSA,CHRVII_L06,A_to_D,44,122,0.36065573770491804,36.0655737704918
6,0,1,TRANS,SSA,CHRVII_L09,A_to_D,22,122,0.18032786885245902,18.0327868852459
6,0,1,TRANS,SSA,CHRXII_L01,A_to_D,17,122,0.13934426229508196,13.934426229508198
6,0,1,TRANS,SSA,CHRXII_L05,A_to_D,18,122,0.14754098360655737,14.754098360655737
6,0,1,TRANS,SSA,CHRXII_L07,A_to_D,33,122,0.27049180327868855,27.049180327868854
6,0,1,TRANS,SSA,CHRXII_L12,A_to_D,36,122,0.29508196721311475,29.508196721311474
6,0,1,TRANS,SSA,CHRXV_L01,A_to_D,29,122,0.23770491803278687,23.770491803278688
6,0,1,TRANS,SSA,CHRXV_L15,A_to_D,16,122,0.13114754098360656,13.114754098360656
6,0,1,TRANS,SSA,CHRXV_L17_2,A_to_D,65,122,0.5327868852459017,53.278688524590166
6,0,1,TRANS,SSA,CHRXV_L18_1PERCENT_CONTROL,A_to_D,9,122,0.07377049180327869,7.377049180327869
6,0,1,TRANS,SSA,COMMON,C_to_B,676,18,37.55555555555556,3755.5555555555557
6,0,1,TRANS,SSA,NO_CUT,A_to_D,122,122,1,100
6,0,1,TRANS,SSA,NO_CUT,C_to_B,18,18,1,100
6,180,1,DSB1,INTACT,CHRIII_L02,A_to_B,6826,22097,0.3089107118613386,30.891071186133864
6,180,1,DSB1,INTACT,CHRIII_L03,A_to_B,18356,22097,0.8307010001357651,83.070100013576507
6,180,1,DSB1,INTACT,CHRIII_L04,A_to_B,127393,22097,5.765171742770512,576.5171742770511
6,180,1,DSB1,INTACT,CHRIV_L01,A_to_B,17754,22097,0.803457482916233,80.3457482916233
6,180,1,DSB1,INTACT,CHRIV_L03,A_to_B,5337,22097,0.24152599900438973,24.152599900438975
6,180,1,DSB1,INTACT,CHRIV_L06_2,A_to_B,22259,22097,1.0073313119427976,100.73313119427976
6,180,1,DSB1,INTACT,CHRIV_L10_2,A_to_B,14797,22097,0.6696384124541793,66.96384124541792
6,180,1,DSB1,INTACT,CHRIV_L12_2,A_to_B,22924,22097,1.037425894917862,103.74258949178622
6,180,1,DSB1,INTACT,CHRIV_L13,A_to_B,13246,22097,0.5994478888536905,59.94478888536906
6,180,1,DSB1,INTACT,CHRIV_L15_2,A_to_B,24287,22097,1.0991084762637462,109.91084762637462
6,180,1,DSB1,INTACT,CHRVII_990K,A_to_B,25634,22097,1.160066977417749,116.0066977417749
6,180,1,DSB1,INTACT,CHRVII_L03,A_to_B,10929,22097,0.4945920260668869,49.45920260668869
6,180,1,DSB1,INTACT,CHRVII_L06,A_to_B,17537,22097,0.7936371453138436,79.36371453138435
6,180,1,DSB1,INTACT,CHRVII_L09,A_to_B,7633,22097,0.34543150653934923,34.54315065393492
6,180,1,DSB1,INTACT,CHRXII_L01,A_to_B,15705,22097,0.7107299633434403,71.07299633434403
6,180,1,DSB1,INTACT,CHRXII_L05,A_to_B,50405,22097,2.281078879485903,228.1078879485903
6,180,1,DSB1,INTACT,CHRXII_L07,A_to_B,16565,22097,0.7496492736570575,74.96492736570575
6,180,1,DSB1,INTACT,CHRXII_L12,A_to_B,8006,22097,0.3623116260125809,36.23116260125809
