batch,time_point,replicate,DSB,repeat,allele,combo,Counts,Uncuttable_Counts,Percent_of_Uncuttable
8,180,1,DSB2,SSA,CHRXV_L15,C_to_D,87,34704,0.25069156293222683
8,180,1,DSB2,SSA,CHRXV_L17_2,C_to_D,16,34704,0.046104195481788846
8,180,1,DSB2,SSA,CHRXV_L18_1PERCENT_CONTROL,C_to_D,33,34704,0.09508990318118948
8,180,1,DSB2,SSA,COMMON,C_to_D,1155167,34704,3328.627823881973
8,180,1,DSB2,SSA,NO_CUT,C_to_D,34704,34704,100
8,180,1,TRANS,INTACT,CHRIII_L02,A_to_D,396,421,94.06175771971496
8,180,1,TRANS,INTACT,CHRIII_L02,C_to_B,4,421,0.9501187648456056
8,180,1,TRANS,INTACT,CHRIII_L03,A_to_D,698,421,165.7957244655582
8,180,1,TRANS,INTACT,CHRIII_L03,C_to_B,1,421,0.2375296912114014
8,180,1,TRANS,INTACT,CHRIII_L04,A_to_D,1106,421,262.70783847981
8,180,1,TRANS,INTACT,CHRIV_L01,A_to_D,946,421,224.70308788598575
8,180,1,TRANS,INTACT,CHRIV_L03,A_to_D,1529,421,363.1828978622328
8,180,1,TRANS,INTACT,CHRIV_L06_2,A_to_D,945,421,224.46555819477436
8,180,1,TRANS,INTACT,CHRIV_L10_2,A_to_D,709,421,168.4085510688836
8,180,1,TRANS,INTACT,CHRIV_L12_2,A_to_D,528,421,125.41567695961996
8,180,1,TRANS,INTACT,CHRIV_L12_2,C_to_B,1,421,0.2375296912114014
8,180,1,TRANS,INTACT,CHRIV_L13,A_to_D,697,421,165.5581947743468
8,180,1,TRANS,INTACT,CHRIV_L15_2,A_to_D,689,421,163.6579572446556
8,180,1,TRANS,INTACT,CHRIV_L15_2,C_to_B,4,421,0.9501187648456056
8,180,1,TRANS,INTACT,CHRVII_990K,A_to_D,579,421,137.52969121140143
8,180,1,TRANS,INTACT,CHRVII_L03,A_to_D,443,421,105.22565320665083
